Image Number,Tract,Visit,Patch,xcoord,ycoord,ccdnum,Catalog ID
133,0,303601,25,42.5551426656,3091.82749572,10,130395679552962729
134,0,303601,25,795.938666651,3205.00145462,10,130395679552962731
135,0,303601,25,1744.47620688,3246.75136936,10,130395679552962732
136,0,303601,25,1168.9273619,3257.21826428,10,130395679552962733
137,0,303601,25,1795.82005797,3290.98584985,10,130395679552962735
138,0,303601,25,488.834491004,3363.11570942,10,130395679552962737
139,0,303601,25,104.921753704,3654.07568125,10,130395679552962741
140,0,303601,25,430.439405849,3695.83251218,10,130395679552962742
141,0,303601,25,406.644916523,3711.87645554,10,130395679552962743
142,0,303601,25,1094.15709419,3718.29102344,10,130395679552962744
143,0,303601,25,115.524903116,3951.63946895,10,130395679552962748
144,0,303589,25,251.642543586,106.686711734,10,130390525592207453
145,0,303589,25,1437.17515678,158.276776894,10,130390525592207454
146,0,303589,25,838.104239313,811.068975809,10,130390525592207464
147,0,303589,25,1763.81580578,1124.47436538,10,130390525592207471
148,0,303589,25,856.184194478,1131.93860165,10,130390525592207472
149,0,303589,25,1116.08617266,1307.96435457,10,130390525592207476
150,0,303589,25,1661.37415069,1376.90019987,10,130390525592207477
151,0,303589,25,1784.04127028,1581.10949377,10,130390525592207482
152,0,303589,25,1655.02055303,1766.97594867,10,130390525592207484
153,0,303589,25,1759.21863419,1887.16979656,10,130390525592207486
